lemma	date	identifier	context	indexes_target_sentence
abundar	1858	old_corpus_spanish-94796-673	El contacto con los europeos de todas las naciones es mayor aún desde los principios, que en ninguna parte del continente hispanoamericano: la desespañolización y la europeificación se efectúan en diez años de un modo radical sólo en Buenos Aires, se entiende. No hay más que tomar una lista de vecinos de Buenos Aires para ver cómo abundan en los hijos del país los apellidos ingleses, franceses, alemanes, italianos. El año 1820 se empieza a organizar la sociedad, según las nuevas ideas de que está impregnada, y el movimiento continúa hasta que Rivadavia se pone a la cabeza del Gobierno.	261:418
abundar	1858	old_corpus_spanish-495517-401	Tanta sorpresa causó al aburrido negociante la proposición, que no creyó que su cuñada le hablaba formalmente. — Y la verdad - indicó Rafael -; para lo que hacemos aquí... Fresco no hay; en cambio abundan los mosquitos, y otra casta de alimañas peores, los amigos importunos y mortificantes. — Eso es hablar como la Biblia.	111:291
abundar	1858	old_corpus_spanish-41298-162	Los había también encarnados. ¡Oh!, el rojo abundaba tanto, que aquello parecía un pueblo que tiene la religión de la sangre. Telas rojas, arneses rojos, collarines y frontiles rojos con madroñaje arabesco.	30:125
abundar	1858	old_corpus_spanish-218300-267	La naturaleza sonreía como la nación. El abigarrado gentío que poblaba las calles secomponía de todas las clases de la sociedad, abundando principalmente la manolería y chispería, hombres y mujeres, viejos y muchachos. Los ancianos inválidos y gotosos habían dejado el lecho, y sostenidos por sus nietos abríanse paso.	38:218
abundar	1858	old_corpus_spanish-354246-657	Veíase metido en el charco de las ranas pidiendo libertad, y la algarabía de aquellos batracios le resultó más molesta y jaquecosa que la de los que pedían un rey, siquier fuese de palo. Diariamente veía crecer Halconero el vacío que en su existencia dejó la muerte de Fernanda; vacío de sentimientos no más, pues las ideas abundaban y crecían con extrañas ramificaciones. En su casa no hallaba medio de abrigarse contra el frío espiritual, porque su madre, que era para él único foco de calor, continuaba en Carabanchel entretenida con el abuelo en sus trabajitos de avicultura y de jardinería potajera.	187:372
abundar	1858	old_corpus_spanish-78063-539	El techo del cuerpo principal estaba formado con las hojas de la palma llamada cana, por su espesor, duración y frescura; y el de los pórticos o cobertizos con teja plana. Las puertas y ventanas, en número por cierto excesivo, abrían todas hacia afuera, dejando entrar a raudales, al menos de día, la luz y el aire siempre cargado con el perfume de las flores o de las frutas en que tanto abundaba aquella morada encantadora. Por razones que es fácil colegir, las señoras no siguieron desde luego el ejemplo del amo de la casa.	172:425
abundar	1858	old_corpus_spanish-312321-337	Cosas muy buenas han legislado y dispuesto nuestros amigos, y otras que son evidentes disparates. No todo es oro acá, ni allá todo escoria, que en uno y otro montón abundan el precioso metal y las materias viles. No debemos despreciar, tratándose de política, las formas, amigo mío, las socorridas formas, necesarias en este arte más quizás que en ningún otro; formas pido a los hombres en lo que escriben, en lo que decretan, en lo que hacen; formas en el trato político como en el social, y sin formas, las ideas más bellas y fecundas resultan enormes tonterías.	98:212
abundar	1858	old_corpus_spanish-17808-437	Ya que hemos hablado de los atriles, permitasenos decir cuatro palabras sobre los libros que ellos sustentan. Son todos muy voluminosos y de gran tamaño; las hojas de finísimo pergamino; la letra y nota muy gruesa: abundan los dibujos y viñetas y demas adornos que usaron los amanuenses antiguos, y están cubiertos con recias tapas de madera, aforradas de cordoban y reforzadas por grandes clavos y cantoneras de laten. Hay que advertir que estos libros no son los antiguos, y con tener algun mérito, distan mucho del que reunian estos, relegados á la Biblioteca del Cabildo donde se conservan como preciosa antigualla, desde que á fines del siglo XVI tuvo igual suerte el primitivo rezo toledano que contenian, siendo reemplazados por los actuales.	110:419
abundar	1858	old_corpus_spanish-135456-287	lugar muy excelso en el mundo industrial con sus ocho fábricas de navajas, tres de candiles y otras de menor importancia. También se dedicaban a criar mulas lechales que traían del cercano Pirineo; cultivaban con esmero las delicadas frutas catalanas y eran maestros en cebar aves domésticas así como en cazar la muchedumbre de codornices, palomas silvestres, ánades y becadas que tanto abundan en aquellos espesos montes y placenteros ríos. No podían ser tales industrias de las menos lucrativas en tierra tan poblada de canónigos, racioneros y regulares.	122:441
abundar	1858	old_corpus_spanish-411925-1351	Su pobreza les vedaba ciertamente el lujo; pero como es ley que todas las clases de la sociedad, a excepción de la jornalera, vistan de la misma manera, y como hay un verdadero delirio en los pequeños por imitar el modo de presentarse de los grandes (de donde resulta que la hija de un empleado de doce mil reales apenas se distingue, en la calle, de la hija de un prócer), las de Relimpio se emperifollaban tan bien con recortes, desechos, pingos y cosas viejas rejuvenecidas, que más de una vez dieron chasco a los poco versados en fisonomías y tipos matritenses. Eran ambas agradables, y Emilia bastante bonita, de ese tipo fino, delicado y esbelto que tanto en Madrid abunda. Largos meses vivieron con un solo vestido bueno para las dos, un par de botinas comunes y una pelliza blanca de invierno, de lo que resulta que cada día le tocaba a una sola niña salir a paseo con D.ª Laura.	566:679
abundar	2007	modern_corpus_spanish-150883-663	"Espero que la Comisión siga atentamente ese proyecto y otros similares de otros países para descubrir qué lecciones se desprenden de ellos que se puedan aplicar en otras partes de la Unión Europea con vistas a intentar contribuir a la cohesión regional. La Sra. Sierra González nos presenta un excelente trabajo y sólo me queda abundar en su concepción de la utilidad y del reparto de beneficios de la sociedad de la información. En efecto, como diputada de la región Norte-Pas-de-Calais observo que la puesta a disposición de las nuevas tecnologías de la información y su utilización por las empresas, naturalmente, pero también por los ""simples» ciudadanos, permiten que una región desfavorecida, afectada por una elevada tasa de desempleo, pueda recuperar su retraso económico y social."	254:429
abundar	2007	modern_corpus_spanish-565144-541	Las consecuencias podrían ser igualmente catastróficas. Pensemos en la reunión de diciembre del Comité para las Operaciones de Mercado Abierto de la Reserva Federal (COMA), donde los debates sobre el aumento del tipo de interés de referencia de los fondos federales abundaron en adjetivos, en lugar de medidas explícitas. En consonancia con una orientación anterior en el sentido de que se mantendría el tipo de interés oficial próximo a cero durante un tiempo “considerable” después de que en el pasado mes de octubre la Reserva Federal dejara de comprar activos a largo plazo, el COMA declaró que ahora podía permitirse el lujo de mostrarse “paciente” en espera de las condiciones idóneas para aumentar el tipo de interés.	56:321
abundar	2007	modern_corpus_spanish-543870-353	Así, pues, los combustibles fósiles son abundantes, pero perjudiciales; las energías renovables, como el viento, son buenas para el clima, pero no abundan. La energía solar abunda, pero no es barata. La energía nuclear es abundante, pero no es segura.	156:199
abundar	2007	modern_corpus_spanish-373360-374	En la Biblia judía se menciona a la ciudad cientos de veces, es un tema central del ritual judío y durante 3.000 años ha sido el lugar de una continua presencia judía. Otros ejemplos abundan. La tumba de José, en Nablus, tras haber sido temporariamente evacuada en virtud de un acuerdo con la policía palestina, fue brutalmente destruida y objetos del ritual judío fueron quemados y profanados.	168:191
abundar	2007	modern_corpus_spanish-271592-324	j) La conducta anticompetitiva parece afectar por igual a las naciones más ricas y más pobres del África subsahariana. Las denuncias de formación de cárteles abundan, y las prácticas anticompetitivas que se observan en toda la región ocurren en campos de actividad que probablemente repercutan de manera relativamente más importante en los pobres, en el sector rural y en las empresas pequeñas. Se sugirió que los países más pobres y menos desarrollados deberían por lo tanto dar una prioridad aún mayor al derecho y la política de la competencia que los países ricos.	119:394
abundar	2007	modern_corpus_spanish-635964-435	Los seguidores están obligados a jurar lealtad a la tribu y al jefe; pero como la tribu no tolera el disenso, los partidos tribales tienden a degenerar rápidamente en facciones competidoras. Respecto de qué nos trajo a esta nueva era de política tribal, las explicaciones abundan. Para muchos, la causa principal es la creciente desigualdad económica.	191:280
abundar	2007	modern_corpus_spanish-582280-269	(Sarkozy ya está divorciado dos veces.) Y, si bien abundan las queridas entre las clases privilegiadas, no se pasean en público junto a sus poderosos amantes. Los besos y las caricias en público, incluso entre esposos, son objeto de tabú.	40:158
abundar	2007	modern_corpus_spanish-640927-233	Los osos todavía se están reproduciendo. Y abundan historias de que el calentamiento global haría llegar la malaria a Europa o Vermont. Pero aquí, también, la evidencia contradice esos temores; de hecho, las muertes ocasionadas por la malaria decayeron más del 25% en los últimos diez años.	41:135
abundar	2007	modern_corpus_spanish-523857-151	"Dos hurras por las Tres Representaciones de Jiang Zemin Abundan las burlas a la teoría de las ""Tres Representaciones"" del saliente Presidente chino Jiang Zemin. Los ""expertos"" menosprecian la teoría, que dice que el Partido Comunista debe representar no sólo a los trabajadores y campesinos, sino también a las ""fuerzas productivas, culturas e intereses avanzados"" de la sociedad, y la consideran completamente inadecuada para los crecientes problemas de desigualdad, corrupción y falta de democracia que enfrenta China."	56:160
abundar	2007	modern_corpus_spanish-572366-365	Si las encuestas se levantan correctamente, el número de muertes en exceso durante la guerra se puede calcular dentro de un rango de incertidumbre estadística. Pero cuando se llevan a cabo en tiempos de guerra, los riesgos abundan. Además de los riesgos a los encuestadores que recaban dicha información durante un conflicto, se encuentran las distorsiones en la selección de los hogares de la muestra, una falta de datos demográficos creíbles a los cuales se puedan aplicar los cambios en la tasa de mortalidad y la información equivocada o engañosa proporcionada por los participantes.	160:231
abundar	2007	modern_corpus_spanish-723052-402	Si bien acogía con beneplácito el plan de acción anticrisis formulado por el Gobierno en aquel momento, el Fondo no se hacía ilusiones sobre que fuera a estar a la altura de la tarea. Sin embargo, en un momento posterior de ese mismo año el gobierno de Saad Hariri, hijo de Rafik Hariri, infundió una nueva esperanza, lo que movió al FMI a declarar que había “brindado una nueva oportunidad para vigorizar las reformas económicas”, pero el éxito de las reformas previstas depende en gran medida de la cooperación entre los principales grupos políticos del Líbano –suníes y chiíes–, cosa que hasta ahora no ha abundado precisamente. De hecho, la influencia de potencias exteriores sigue siendo una parte fundamental de la ecuación.	184:631
abundar	2007	modern_corpus_spanish-509352-697	Hubo una época en que la gente salía en avión a destinos como Estados Unidos, España y Panamá, con la esperanza de encontrar un futuro mejor en el extranjero, pero hoy sale a pie, cruzando la frontera para entrar a Colombia o Brasil, o trata de llegar en barco a Aruba, Curaçao, y Trinidad y Tobago, impulsada nada más que por la desesperación. Abundan las estimaciones sobre esta emigración. Colombia ha intentado poner algo de orden en el proceso, pidiéndoles que se registren a los venezolanos que han entrado legalmente al país.	345:392
abundar	2007	modern_corpus_spanish-662606-342	Por tanto, la pregunta es si Europa y Rusia pueden establecer un nuevo marco de trabajo para dialogar. Abundan los caminos diplomáticos bien recorridos, por lo que no es un problema de falta de estructuras. Los que se necesita es una actitud mental más positiva e ideas específicas sobre qué hacer.	103:206
abundar	2007	modern_corpus_spanish-586931-425	Pese haber estado aclamada hasta hace poco como la próxima gran historia de éxito, el país se ha visto asaltado últimamente por malas noticias. Abundan las historias de huida de inversores (debida principalmente a una ley tributaria restrospectiva promulgada en este año para recaudar impuestos por las transacciones extranjeras de empresas indias), inflación en aumento, al subir los precios de los alimentos y del combustible, y luchas políticas intestinas, lo que ha retrasado una nueva política encaminada a permitir la inversión extranjera directa en el sector del comercio minorista de la India. Algunos han declarado incluso que “el caso de la India” ha concluido.	144:601
abundar	2007	modern_corpus_spanish-111884-203	Aplaudimos este gesto y prestaremos con mucho gusto nuestra colaboración. Señor Presidente, voy a abundar en lo dicho por mis colegas y añadir incluso que el Comité contra la Tortura de las Naciones Unidas asegura que la tortura está muy extendida en el Camerún, lo que confirma también el testimonio de un antiguo ministro camerunés para quien el universo carcelario es inhumano en ese país y la tortura permanente en los planos físico y moral. Todo hace pensar que el Gobierno del Camerún -y tal vez sea eso lo que más me inquieta hoy- ha perdido el control de las fuerzas especiales que ha creado y que parecen ser las responsables, entre otras cosas, de la desaparición de nueve jóvenes que supuestamente robaron una botella de gas en la ciudad deportiva de Duala.	74:445
abundar	2007	modern_corpus_spanish-175694-1117	Las terribles noticias que acabamos de recibir de Londres me empujan a manifestar que, si todos los Estados miembros permanecemos unidos, podremos defendernos mucho mejor de los insensatos ataques contra la democracia, como está sucediendo en estos momentos en Londres. Señor Presidente, abundando sobre lo manifestado por el presidente de nuestro Grupo, quiero decir que me he abstenido en la votación de las resoluciones sobre Rumanía y Bulgaria, dado que el hecho de que el Presidente de esta Cámara ya hubiera cursado, el viernes, una invitación escrita a los observadores suponía que ninguna de las resoluciones seguía teniendo realmente fundamento desde el punto de vista del procedimiento. En el Grupo del Partido Popular Europeo (Demócrata-Cristianos) y de los Demócratas Europeos hemos respondido a esta alteración del fundamento procedimental retirando la resolución, que era lo que procedía hacer.	270:696
abundar	2007	modern_corpus_spanish-634204-502	Siendo así que la seguridad interior y la exterior están íntimamente relacionadas, sería un gran error que la Unión Europea compartimentara sus políticas. Afortunadamente, la Estrategia Global, presentada hace unos meses por la Alta Representante, abunda en esta idea. Así como la realidad no distingue entre el interior y el exterior, las respuestas –para ser adecuadas– no deben hacerlo.	155:268
abundar	2007	modern_corpus_spanish-747631-692	De hecho, según la Perspectiva del Medio Ambiente Global-4 del Programa de las Naciones Unidas para el Medio Ambiente, el mundo actualmente está experimentando una sexta ola de extinciones, desatada en gran parte por nuestra imposibilidad de gestionar los activos naturales. Sin embargo, junto con estos datos que abruman, en el mundo también abunda la gestión lúcida e inteligente. Por cierto, las áreas protegidas hoy abarcan más del 12% de la superficie de la Tierra, aunque la creación de reservas marinas sigue siendo penosamente baja.	275:382
abundar	2007	modern_corpus_spanish-721345-439	Con herramientas más avanzadas, esos trabajadores podrán producir cosas más útiles. En la historia no abundan ejemplos de progreso tecnológico en el contexto de una economía de mercado que haya empobrecido directamente a los trabajadores no cualificados. Cuando sucedió, fue porque las máquinas provocaron una gran disminución de valor de lo producido en un sector de uso intensivo de mano de obra, al aumentar la producción de ese bien tanto que toda la demanda potencial quedó satisfecha.	84:254
abundar	2007	modern_corpus_spanish-625920-441	"CAMBRIDGE – Hoy en día, la cooperación o coordinación público-privada es objeto de considerable atención. Se han creado múltiples centros para el estudio de las relaciones entre el sector empresarial y el gobierno, y abundan los estudios acerca del diseño, el análisis y la evaluación de las alianzas público-privadas. Incluso el Foro Económico Mundial se ha transformado en ""una organización internacional para la cooperación público-privada""."	106:318
actitud	1858	old_corpus_spanish-513316-301	D. Pito no se casaba con nadie. El atlético Virones, que era de los más desconcertados, salió a la calle, donde continuaba la ciega, en invariable actitud desde el día antes, las sayas por la cabeza formando capuchón. «Lucía -le dijo-, ya se acabó todo.	32:217
actitud	1858	old_corpus_spanish-76588-305	—Buenos o malos, —contestó con rudeza el soldado—, hace ratos que acá los tenemos. —El señor militar parece que no me conoce, —agregó ella en tono y actitud suplicatorios. —No tiene nada de extraño, porque el diablo me lleve si he tenido tratos con brujas.	83:171
actitud	1858	old_corpus_spanish-307259-590	Intenso escalofrío le corría por todo el cuerpo, y apenas podía tenerse en pie. Arreglado el mejor lecho que fue posible, en la cuadra donde todos dormían, se acostó el hombre, perseguido por el espectro de Pertusa con escapulario y vela, andando al compás de la procesión con devoto paso y actitud, y echando de soslayo sobre el gentío el rayo de sus sagaces ojuelos. Y si por el órgano de la vista se hallaba el buen caballero bajo la sugestión del Epístola, por el oído se le entraban los campanudos discursos de Videchigorra.	80:368
actitud	1858	old_corpus_spanish-300330-572	El sargento que les mandaba y dirigía era por demás insolente y grosero, de estos que se envalentonan con los humildes. Grande era la resignación de Urdaneta, que se había propuesto tomar por modelo al patriarca Job; mas hubo ocasiones en que se vio a dos dedos de perder su pasiva actitud, por la fuerza explosiva de la dignidad aristocrática, que romper quería sus cadenas, atropellando paciencia, humildad y cristianismo. Viendo que aquel bruto abofeteaba inhumanamente a dos infelices que no habían entendido sus órdenes, o que por exceso de fatiga se mostraban perezosos, sintió el prócer vibración en todo su ser, efecto de la honda crisis o lucha de opuestos sentimientos, y se dijo: «Haré un esfuerzo sobrehumano por contenerme si ese gandul pone sus manos en mi cara; pero dudo que pueda conseguirlo, pues antes de que el corazón se humille, el estallido de mi dignidad hará que le parta la cabeza de un hachazo».	120:424
actitud	1858	old_corpus_spanish-256514-375	Pidamos a Dios con todo fervor y recogimiento... que sea verdad lo que ha dicho este buen hombre; que sea verdad el levantamiento de la Coruña... Monsalud estaba echado boca arriba en actitud de tranquilidad perfecta. Había extendido sus dos brazos formando arco alrededor de la cabeza, y miraba al techo.	146:217
actitud	1858	old_corpus_spanish-497345-703	Participo a usted, después de darle las gracias por haberse prestado ¡todo un señor Marqués! a ser esta noche mi ayuda de cámara, que de hoy en adelante seré la misma sumisión, y la obediencia personificada, y no daré el menor disgusto, ni a usted mi cuñado ilustre, ni a mis buenas hermanas. Dijo esto sonriendo, los brazos rodeando la cabeza, en actitud semejante a la de la maja yacente de Goya. — Me parece bien.	293:398
actitud	1858	old_corpus_spanish-18093-905	Entre flameros hay las armas del Cardenal Tabera y debajo las del obrero Ayala, y algunas cabezas de muy buena ejecucion y dibujo. De los tres vanos que dejan las columnas, los dos laterales contienen dos pinturas de claro oscuro de dos caballeros armados de punta en blanco, obra del célebre Comontes, y el del centro tiene la muestra del reloj, encima de la cual y entre muchos adornos se ven dos figuras de guerreros con sus clavas levantadas en actitud de golpear las campanas del reloj que están en medio, como efectivamente antes las herian para dar los cuartos y las horas, mecanismo que por lo vistoso, y porque distraia á los fieles se ha suprimido. Remata esta portada con un gran roseton y ventanas piramidales, iguales á las que vimos en la de los Leones.	131:658
actitud	1858	old_corpus_spanish-395151-63	¿Has variado de fortuna? La actitud de Caifás frente al israelita era algo cohibida. Sus miradas indicaban el mayor respeto y la singular veneración que su favorecedor le inspiraba; pero a tal respeto uníase cierto recelo o más bien repugnancia, torpeza en las palabras, miedo quizás.	25:84
actitud	1858	old_corpus_spanish-33462-365	Estos hectos muestran que la razón dada al Dr. Avellaneda tenía sólo una apariencia de razón, para persistir honorablemente, científicamente, diría, en su poesía de la guerra. La actitud heroica que asumía en el combate acusa la acumulación de la sangre en el cerebro que hace centellear los ojos, mientras el miedo la aleja y produce la palidez del semblante. Los oradores, los poetas, los descubridores, se transfiguran en el apogeo de la exaltación.	176:360
actitud	1858	old_corpus_spanish-344792-969	Tan al pie de la letra cumplió Iberito estos mandatos, que aquella noche misma hubo de tener una seria cuestión con dos albéitares de Calatrava, que se permitieron ametrallar con chicoleos a Teresita, por pasar el rato y tantear el terreno... que si tendría los ojos más bonitos si no llorara tanto... que si se tapaba demasiado la pechera... que ellos le darían conversación para distraerla... Todo esto le pareció a Ibero de una descortesía impertinente, y llegándose a ellos en actitud decidida y calmosa, les dijo: «Caballeros, déjense de ofender a esta señora con flechazos y tonterías, porque aquí estoy yo con órdenes terminantes para no permitirlo... ¿Qué?... ¿Se ríen?... ¿Toman a chacota lo que les digo?... Pues el guasón que no esté conforme, salga al camino con el arma que quiera o a puño limpio, y Dios dirá quién se ríe y quién se pone serio...	395:717
actitud	1858	old_corpus_spanish-357435-694	Al vocerío de Hinojosa y el traqueteo de los palos acudieron de una parte el mozo y conserje, de otra los compinches de mi enemigo. Unos me sujetaban, otros corrían al socorro del tío... Ya he dicho que soy un hombre terrible, y que me crezco al castigo convirtiéndome de chico en grande por la fiereza de mi embestida y la arrogancia de mis actitudes. Con presteza increíble me sacudí de los que intentaban acorralarme, y seguí el vapuleo contra todo el que por delante me caía.	132:352
actitud	1858	old_corpus_spanish-213099-525	Llegué a la mañana siguiente, me acerqué a la casa, entré en el jardín, puse el pie en el primer escalón de la puerta y allí me detuve, porque mis pensamientos absorbían todo mi ser y necesitaba estar inmóvil para meditar mejor. Creo que permanecí en aquella actitud más de media hora. Silencio profundo reinaba en la casa.	229:285
actitud	1858	old_corpus_spanish-121638-213	—le preguntó Morton besándola con ardor. Gloria palideció más de lo que estaba y cruzó sus manos en la actitud de los muertos. —¿Es cierto?	41:126
actitud	1858	old_corpus_spanish-370834-473	Dos órdenes de pequeños rizos; guedejas sutiles, retorcidas con negligencia, le adornaban la frente, y de las sienes blancas, cuya piel transparentaba ligeramente la raya azulada de alguna vena, le caían dos airosos mechones. No hay actitud más propia para apreciar debidamente las formas académicas de una mujer, que esa que toma cuando alza las manos y se enrolla una trenza en la cabeza, dejando ver el busto, el talle, el cuello en toda su redondez. Tiéndense los músculos del pecho, se contornea la espalda, y el ángulo del codo y las suaves curvas del hombro describen en su dilatación graciosas líneas que dan armoniosa expresión escultural a toda la figura.	226:453
actitud	1858	old_corpus_spanish-238395-699	En su rostro se pintaba una ira reconcentrada y profunda; apretaba las mandíbulas; fruncía el ceño, haciendo culebrear las cejas negras y espesas como dos bigotes y el resoplido de sualiento no discrepaba en fuerza y calor del de un caballo. He dicho que se había tendido de barriga, con las palmas de las manos en tierra y los codos en alto, en actitud muy parecida a la de los cigarrones cuando se disponen a dar el salto. De súbito mosén Antón saltó todo lo que puede saltar un hombre en tal postura; levantose en pie, extendió los brazos, lanzaron las cavidades de su pecho un graznido de ave de rapiña, brilló el rayo en sus ojos y señalando a la derecha hacia el punto donde desaparecía el valle formando un recodo, exclamó:	242:424
actitud	1858	old_corpus_spanish-472691-449	Miau peleándose con Posturas era espectáculo nuevo, de trágicas y nunca sentidas emociones, algo como ver la liebre revolviéndose contra el hurón, o la perdiz emprendiéndola a picotazos con el perro. Y fue muy hermosa la actitud insolente de Posturitas, al recibir el primer achuchón, espatarrándose para aplomarse mejor, soltando libros y pizarra para tener los brazos libres... Al mismo tiempo rezongaba con orgullo insano: «Verás, verás... re-contro... me caso con la biblia...».	200:379
actitud	1858	old_corpus_spanish-383105-569	Estas palabras, aunque algo misteriosas, fueron perfectamente entendidas por Susana, que, fijos los ojos en Martín, contestó afirmativamente con la cabeza, mostrando gran convicción. Cansose de la postura que poco antes había tomado, y culebreaba en el sofá buscando nuevas actitudes a aquel cuerpo cansado de su cansancio. Había tomado un abanico y se daba aire lentamente.	183:323
actitud	1858	old_corpus_spanish-239319-301	Usted aguantará, usted dará el dinero, y usted no saldrá de la partida. — Veamos cómo ha de ser eso, no queriendo yo -dijo el Manco, poniéndose en actitud delcarnívoro que espera el ataque de la fiera más poderosa. — ¡Albuín, Albuín!	72:214
actitud	1858	old_corpus_spanish-469520-221	— «Pase usted, D. Segismundo» dijo reconociendo al regente de la botica. Y entró el tal con cara risueña y actitud oficiosa, como de persona que cree ser útil. Estaba la joven incorporada en su lecho, con chambra y pañuelo a la cabeza.	73:159
